nivel;distrito;concelho;freguesia;dicofre;brasao
3;Aveiro;Arouca;Chave;010407;https://dados.gov.pt/s/brasoes/010407.png
3;Aveiro;Arouca;Escariz;010409;https://dados.gov.pt/s/brasoes/010409.png
3;Aveiro;Arouca;Fermedo;010411;https://dados.gov.pt/s/brasoes/010411.png
3;Aveiro;Arouca;Mansores;010413;https://dados.gov.pt/s/brasoes/010413.png
3;Aveiro;Arouca;Moldes;010414;https://dados.gov.pt/s/brasoes/010414.png
3;Aveiro;Arouca;Rossas;010415;https://dados.gov.pt/s/brasoes/010415.png
3;Aveiro;Arouca;Santa Eulália;010416;https://dados.gov.pt/s/brasoes/010416.png
3;Aveiro;Arouca;São Miguel do Mato;010417;https://dados.gov.pt/s/brasoes/010417.png
3;Aveiro;Arouca;Tropeço;010418;https://dados.gov.pt/s/brasoes/010418.png
3;Aveiro;Arouca;Urrô;010419;https://dados.gov.pt/s/brasoes/010419.png
3;Aveiro;Arouca;Várzea;010420;https://dados.gov.pt/s/brasoes/010420.png
3;Aveiro;Arouca;União das freguesias de Arouca e Burgo;010421;
3;Aveiro;Arouca;União das freguesias de Cabreiros e Albergaria da Serra;010422;
3;Aveiro;Arouca;União das freguesias de Canelas e Espiunca;010423;
3;Aveiro;Arouca;União das freguesias de Covelo de Paivó e Janarde;010424;
3;Aveiro;Aveiro;Aradas;010501;https://dados.gov.pt/s/brasoes/010501.png
3;Aveiro;Aveiro;Cacia;010502;https://dados.gov.pt/s/brasoes/010502.png
3;Aveiro;Aveiro;Esgueira;010505;https://dados.gov.pt/s/brasoes/010505.png
3;Aveiro;Aveiro;Oliveirinha;010508;https://dados.gov.pt/s/brasoes/010508.png
3;Aveiro;Aveiro;São Bernardo;010510;https://dados.gov.pt/s/brasoes/010510.png
3;Aveiro;Aveiro;São Jacinto;010511;https://dados.gov.pt/s/brasoes/010511.png
3;Aveiro;Aveiro;Santa Joana;010513;https://dados.gov.pt/s/brasoes/010513.png
3;Aveiro;Aveiro;Eixo e Eirol;010515;
3;Aveiro;Aveiro;Requeixo, Nossa Senhora de Fátima e Nariz;010516;
3;Aveiro;Aveiro;União das freguesias de Glória e Vera Cruz;010517;
3;Aveiro;Castelo de Paiva;Fornos;010602;https://dados.gov.pt/s/brasoes/010602.png
3;Aveiro;Castelo de Paiva;Real;010606;https://dados.gov.pt/s/brasoes/010606.png
3;Aveiro;Castelo de Paiva;Santa Maria de Sardoura;010607;https://dados.gov.pt/s/brasoes/010607.png
3;Aveiro;Castelo de Paiva;São Martinho de Sardoura;010608;https://dados.gov.pt/s/brasoes/010608.png
3;Aveiro;Castelo de Paiva;União das freguesias de Raiva, Pedorido e Paraíso;010610;
3;Aveiro;Castelo de Paiva;União das freguesias de Sobrado e Bairros;010611;
3;Aveiro;Espinho;Espinho;010702;
3;Aveiro;Espinho;Paramos;010704;https://dados.gov.pt/s/brasoes/010704.png
3;Aveiro;Espinho;Silvalde;010705;https://dados.gov.pt/s/brasoes/010705.png
3;Aveiro;Espinho;União das freguesias de Anta e Guetim;010706;
3;Aveiro;Estarreja;Avanca;010801;https://dados.gov.pt/s/brasoes/010801.png
3;Aveiro;Estarreja;Pardilhó;010805;https://dados.gov.pt/s/brasoes/010805.png
3;Aveiro;Estarreja;Salreu;010806;https://dados.gov.pt/s/brasoes/010806.png
3;Aveiro;Estarreja;União das freguesias de Beduído e Veiros;010808;
3;Aveiro;Estarreja;União das freguesias de Canelas e Fermelã;010809;
3;Aveiro;Santa Maria da Feira;Argoncilhe;010901;https://dados.gov.pt/s/brasoes/010901.png
3;Aveiro;Santa Maria da Feira;Arrifana;010902;https://dados.gov.pt/s/brasoes/010902.png
3;Aveiro;Santa Maria da Feira;Escapães;010904;https://dados.gov.pt/s/brasoes/010904.png
3;Aveiro;Santa Maria da Feira;Fiães;010907;https://dados.gov.pt/s/brasoes/010907.png
3;Aveiro;Santa Maria da Feira;Fornos;010908;
3;Aveiro;Santa Maria da Feira;Lourosa;010913;https://dados.gov.pt/s/brasoes/010913.png
3;Aveiro;Santa Maria da Feira;Milheirós de Poiares;010914;https://dados.gov.pt/s/brasoes/010914.png
3;Aveiro;Santa Maria da Feira;Mozelos;010916;https://dados.gov.pt/s/brasoes/010916.png
3;Aveiro;Santa Maria da Feira;Nogueira da Regedoura;010917;https://dados.gov.pt/s/brasoes/010917.png
3;Aveiro;Santa Maria da Feira;São Paio de Oleiros;010918;https://dados.gov.pt/s/brasoes/010918.png
3;Aveiro;Santa Maria da Feira;Paços de Brandão;010919;https://dados.gov.pt/s/brasoes/010919.png
3;Aveiro;Santa Maria da Feira;Rio Meão;010921;https://dados.gov.pt/s/brasoes/010921.png
3;Aveiro;Santa Maria da Feira;Romariz;010922;https://dados.gov.pt/s/brasoes/010922.png
3;Aveiro;Santa Maria da Feira;Sanguedo;010924;https://dados.gov.pt/s/brasoes/010924.png
3;Aveiro;Santa Maria da Feira;Santa Maria de Lamas;010925;https://dados.gov.pt/s/brasoes/010925.png
3;Aveiro;Santa Maria da Feira;São João de Ver;010926;https://dados.gov.pt/s/brasoes/010926.png
3;Aveiro;Santa Maria da Feira;União das freguesias de Caldas de São Jorge e Pigeiros;010932;
3;Aveiro;Santa Maria da Feira;União das freguesias de Canedo, Vale e Vila Maior;010933;
3;Aveiro;Santa Maria da Feira;União das freguesias de Lobão, Gião, Louredo e Guisande;010934;
3;Aveiro;Santa Maria da Feira;União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;010935;
3;Aveiro;Santa Maria da Feira;União das freguesias de São Miguel do Souto e Mosteirô;010936;
3;Aveiro;Ílhavo;Gafanha da Encarnação;011005;https://dados.gov.pt/s/brasoes/011005.png
3;Aveiro;Ílhavo;Gafanha da Nazaré;011006;https://dados.gov.pt/s/brasoes/011006.png
3;Aveiro;Ílhavo;Gafanha do Carmo;011007;https://dados.gov.pt/s/brasoes/011007.png
3;Aveiro;Ílhavo;Ílhavo (São Salvador);011008;https://dados.gov.pt/s/brasoes/011008.png
3;Aveiro;Mealhada;Barcouço;011102;https://dados.gov.pt/s/brasoes/011102.png
3;Aveiro;Mealhada;Casal Comba;011103;https://dados.gov.pt/s/brasoes/011103.png
3;Aveiro;Mealhada;Luso;011104;https://dados.gov.pt/s/brasoes/011104.png
3;Aveiro;Mealhada;Pampilhosa;011106;https://dados.gov.pt/s/brasoes/011106.png
3;Aveiro;Mealhada;Vacariça;011107;https://dados.gov.pt/s/brasoes/011107.png
3;Aveiro;Mealhada;União das freguesias da Mealhada, Ventosa do Bairro e Antes;011109;
3;Aveiro;Murtosa;Bunheiro;011201;https://dados.gov.pt/s/brasoes/011201.png
3;Aveiro;Murtosa;Monte;011202;https://dados.gov.pt/s/brasoes/011202.png
3;Aveiro;Murtosa;Murtosa;011203;
3;Aveiro;Murtosa;Torreira;011204;https://dados.gov.pt/s/brasoes/011204.png
3;Aveiro;Oliveira de Azeméis;Carregosa;011301;https://dados.gov.pt/s/brasoes/011301.png
3;Aveiro;Oliveira de Azeméis;Cesar;011302;https://dados.gov.pt/s/brasoes/011302.png
3;Aveiro;Oliveira de Azeméis;Fajões;011303;https://dados.gov.pt/s/brasoes/011303.png
3;Aveiro;Oliveira de Azeméis;Loureiro;011304;https://dados.gov.pt/s/brasoes/011304.png
3;Aveiro;Oliveira de Azeméis;Macieira de Sarnes;011305;https://dados.gov.pt/s/brasoes/011305.png
3;Aveiro;Oliveira de Azeméis;Ossela;011310;https://dados.gov.pt/s/brasoes/011310.png
3;Aveiro;Oliveira de Azeméis;São Martinho da Gândara;011315;https://dados.gov.pt/s/brasoes/011315.png
3;Aveiro;Oliveira de Azeméis;São Roque;011318;https://dados.gov.pt/s/brasoes/011318.png
3;Aveiro;Oliveira de Azeméis;Vila de Cucujães;011319;https://dados.gov.pt/s/brasoes/011319.png
3;Aveiro;Oliveira de Azeméis;União das freguesias de Nogueira do Cravo e Pindelo;011320;
3;Aveiro;Oliveira de Azeméis;União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;011321;
3;Aveiro;Oliveira de Azeméis;União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;011322;
3;Aveiro;Oliveira do Bairro;Oiã;011403;https://dados.gov.pt/s/brasoes/011403.png
3;Aveiro;Oliveira do Bairro;Oliveira do Bairro;011404;
3;Aveiro;Oliveira do Bairro;Palhaça;011405;https://dados.gov.pt/s/brasoes/011405.png
3;Aveiro;Oliveira do Bairro;União das freguesias de Bustos, Troviscal e Mamarrosa;011407;
3;Aveiro;Ovar;Cortegaça;011502;https://dados.gov.pt/s/brasoes/011502.png
3;Aveiro;Ovar;Esmoriz;011503;https://dados.gov.pt/s/brasoes/011503.png
3;Aveiro;Ovar;Maceda;011504;https://dados.gov.pt/s/brasoes/011504.png
3;Aveiro;Ovar;Válega;011507;https://dados.gov.pt/s/brasoes/011507.png
3;Aveiro;Ovar;União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã;011509;
3;Aveiro;São João da Madeira;São João da Madeira;011601;
3;Aveiro;Sever do Vouga;Couto de Esteves;011702;https://dados.gov.pt/s/brasoes/011702.png
3;Aveiro;Sever do Vouga;Pessegueiro do Vouga;011704;https://dados.gov.pt/s/brasoes/011704.png
3;Aveiro;Sever do Vouga;Rocas do Vouga;011705;https://dados.gov.pt/s/brasoes/011705.png
3;Aveiro;Sever do Vouga;Sever do Vouga;011706;
3;Aveiro;Sever do Vouga;Talhadas;011708;https://dados.gov.pt/s/brasoes/011708.png
3;Aveiro;Sever do Vouga;União das freguesias de Cedrim e Paradela;011710;
3;Aveiro;Sever do Vouga;União das freguesias de Silva Escura e Dornelas;011711;
3;Aveiro;Vagos;Calvão;011801;https://dados.gov.pt/s/brasoes/011801.png
3;Aveiro;Vagos;Gafanha da Boa Hora;011804;https://dados.gov.pt/s/brasoes/011804.png
3;Aveiro;Vagos;Ouca;011805;https://dados.gov.pt/s/brasoes/011805.png
3;Aveiro;Vagos;Sosa;011807;https://dados.gov.pt/s/brasoes/011807.png
3;Aveiro;Vagos;Santo André de Vagos;011810;https://dados.gov.pt/s/brasoes/011810.png
3;Aveiro;Vagos;União das freguesias de Fonte de Angeão e Covão do Lobo;011812;
3;Aveiro;Vagos;União das freguesias de Ponte de Vagos e Santa Catarina;011813;
3;Aveiro;Vagos;União das freguesias de Vagos e Santo António;011814;
3;Aveiro;Vale de Cambra;Arões;011901;https://dados.gov.pt/s/brasoes/011901.png
3;Aveiro;Vale de Cambra;São Pedro de Castelões;011902;https://dados.gov.pt/s/brasoes/011902.png
3;Aveiro;Vale de Cambra;Cepelos;011903;https://dados.gov.pt/s/brasoes/011903.png
3;Aveiro;Vale de Cambra;Junqueira;011905;https://dados.gov.pt/s/brasoes/011905.png
3;Aveiro;Vale de Cambra;Macieira de Cambra;011906;https://dados.gov.pt/s/brasoes/011906.png
3;Aveiro;Vale de Cambra;Roge;011907;https://dados.gov.pt/s/brasoes/011907.png
3;Aveiro;Vale de Cambra;União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;011910;
3;Beja;Aljustrel;Ervidel;020102;https://dados.gov.pt/s/brasoes/020102.png
3;Beja;Aljustrel;Messejana;020103;https://dados.gov.pt/s/brasoes/020103.png
3;Beja;Aljustrel;São João de Negrilhos;020104;https://dados.gov.pt/s/brasoes/020104.png
3;Beja;Aljustrel;União das freguesias de Aljustrel e Rio de Moinhos;020106;
3;Beja;Almodôvar;Rosário;020203;https://dados.gov.pt/s/brasoes/020203.png
3;Beja;Almodôvar;Santa Cruz;020205;https://dados.gov.pt/s/brasoes/020205.png
3;Beja;Almodôvar;São Barnabé;020206;https://dados.gov.pt/s/brasoes/020206.png
3;Beja;Almodôvar;Aldeia dos Fernandes;020208;https://dados.gov.pt/s/brasoes/020208.png
3;Beja;Almodôvar;União das freguesias de Almodôvar e Graça dos Padrões;020209;
3;Beja;Almodôvar;União das freguesias de Santa Clara-a-Nova e Gomes Aires;020210;
3;Beja;Alvito;Alvito;020301;
3;Beja;Alvito;Vila Nova da Baronia;020302;https://dados.gov.pt/s/brasoes/020302.png
3;Beja;Barrancos;Barrancos;020401;
3;Beja;Beja;Baleizão;020502;https://dados.gov.pt/s/brasoes/020502.png
3;Beja;Beja;Beringel;020503;https://dados.gov.pt/s/brasoes/020503.png
3;Beja;Beja;Cabeça Gorda;020504;https://dados.gov.pt/s/brasoes/020504.png
3;Beja;Beja;Nossa Senhora das Neves;020506;https://dados.gov.pt/s/brasoes/020506.png
3;Beja;Beja;Santa Clara de Louredo;020510;https://dados.gov.pt/s/brasoes/020510.png
3;Beja;Beja;São Matias;020516;https://dados.gov.pt/s/brasoes/020516.png
3;Beja;Beja;União das freguesias de Albernoa e Trindade;020519;
3;Beja;Beja;União das freguesias de Beja (Salvador e Santa Maria da Feira);020520;
3;Beja;Beja;União das freguesias de Beja (Santiago Maior e São João Baptista);020521;
3;Beja;Beja;União das freguesias de Salvada e Quintos;020522;
3;Beja;Beja;União das freguesias de Santa Vitória e Mombeja;020523;
3;Beja;Beja;União das freguesias de Trigaches e São Brissos;020524;
3;Beja;Castro Verde;Entradas;020603;https://dados.gov.pt/s/brasoes/020603.png
3;Beja;Castro Verde;Santa Bárbara de Padrões;020604;https://dados.gov.pt/s/brasoes/020604.png
3;Beja;Castro Verde;São Marcos da Ataboeira;020605;https://dados.gov.pt/s/brasoes/020605.png
3;Beja;Castro Verde;União das freguesias de Castro Verde e Casével;020606;
3;Beja;Cuba;Cuba;020701;
3;Beja;Cuba;Faro do Alentejo;020702;https://dados.gov.pt/s/brasoes/020702.png
3;Beja;Cuba;Vila Alva;020703;https://dados.gov.pt/s/brasoes/020703.png
3;Beja;Cuba;Vila Ruiva;020704;https://dados.gov.pt/s/brasoes/020704.png
3;Beja;Ferreira do Alentejo;Figueira dos Cavaleiros;020803;https://dados.gov.pt/s/brasoes/020803.png
3;Beja;Ferreira do Alentejo;Odivelas;020804;https://dados.gov.pt/s/brasoes/020804.png
3;Beja;Ferreira do Alentejo;União das freguesias de Alfundão e Peroguarda;020807;
3;Beja;Ferreira do Alentejo;União das freguesias de Ferreira do Alentejo e Canhestros;020808;
3;Beja;Mértola;Alcaria Ruiva;020901;https://dados.gov.pt/s/brasoes/020901.png
3;Beja;Mértola;Corte do Pinto;020902;https://dados.gov.pt/s/brasoes/020902.png
3;Beja;Mértola;Espírito Santo;020903;https://dados.gov.pt/s/brasoes/020903.png
3;Beja;Mértola;Mértola;020904;
3;Beja;Mértola;Santana de Cambas;020905;https://dados.gov.pt/s/brasoes/020905.png
3;Beja;Mértola;São João dos Caldeireiros;020906;https://dados.gov.pt/s/brasoes/020906.png
3;Beja;Mértola;União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;020910;
3;Beja;Moura;Amareleja;021001;https://dados.gov.pt/s/brasoes/021001.png
3;Beja;Moura;Póvoa de São Miguel;021002;https://dados.gov.pt/s/brasoes/021002.png
3;Beja;Moura;Sobral da Adiça;021008;https://dados.gov.pt/s/brasoes/021008.png
3;Beja;Moura;União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;021009;
3;Beja;Moura;União das freguesias de Safara e Santo Aleixo da Restauração;021010;
3;Beja;Odemira;Relíquias;021102;https://dados.gov.pt/s/brasoes/021102.png
3;Beja;Odemira;Sabóia;021103;
3;Beja;Odemira;São Luís;021106;https://dados.gov.pt/s/brasoes/021106.png
3;Beja;Odemira;São Martinho das Amoreiras;021107;https://dados.gov.pt/s/brasoes/021107.png
3;Beja;Odemira;Vila Nova de Milfontes;021111;https://dados.gov.pt/s/brasoes/021111.png
3;Beja;Odemira;Luzianes-Gare;021115;https://dados.gov.pt/s/brasoes/021115.png
3;Beja;Odemira;Boavista dos Pinheiros;021116;https://dados.gov.pt/s/brasoes/021116.png
3;Beja;Odemira;Longueira/Almograve;021117;https://dados.gov.pt/s/brasoes/021117.png
3;Beja;Odemira;Colos;021118;https://dados.gov.pt/s/brasoes/021118.png
3;Beja;Odemira;Santa Clara-a-Velha;021119;https://dados.gov.pt/s/brasoes/021119.png
3;Beja;Odemira;São Salvador e Santa Maria;021120;
3;Beja;Odemira;São Teotónio;021121;https://dados.gov.pt/s/brasoes/021121.png
3;Beja;Odemira;Vale de Santiago;021122;https://dados.gov.pt/s/brasoes/021122.png
3;Beja;Ourique;Ourique;021203;
3;Beja;Ourique;Santana da Serra;021206;https://dados.gov.pt/s/brasoes/021206.png
3;Beja;Ourique;União das freguesias de Garvão e Santa Luzia;021207;
3;Beja;Ourique;União das freguesias de Panoias e Conceição;021208;
3;Beja;Serpa;Brinches;021302;https://dados.gov.pt/s/brasoes/021302.png
3;Beja;Serpa;Pias;021303;https://dados.gov.pt/s/brasoes/021303.png
3;Beja;Serpa;Vila Verde de Ficalho;021307;https://dados.gov.pt/s/brasoes/021307.png
3;Beja;Serpa;União das freguesias de Serpa (Salvador e Santa Maria);021308;
3;Beja;Serpa;União das freguesias de Vila Nova de São Bento e Vale de Vargo;021309;
3;Beja;Vidigueira;Pedrógão;021401;https://dados.gov.pt/s/brasoes/021401.png
3;Beja;Vidigueira;Selmes;021402;https://dados.gov.pt/s/brasoes/021402.png
3;Beja;Vidigueira;Vidigueira;021403;
3;Beja;Vidigueira;Vila de Frades;021404;https://dados.gov.pt/s/brasoes/021404.png
3;Braga;Amares;Barreiros;030102;https://dados.gov.pt/s/brasoes/030102.png
3;Braga;Amares;Bico;030104;https://dados.gov.pt/s/brasoes/030104.png
3;Braga;Amares;Caires;030105;https://dados.gov.pt/s/brasoes/030105.png
3;Braga;Amares;Carrazedo;030107;https://dados.gov.pt/s/brasoes/030107.png
3;Braga;Amares;Dornelas;030108;https://dados.gov.pt/s/brasoes/030108.png
3;Braga;Amares;Fiscal;030111;https://dados.gov.pt/s/brasoes/030111.png
3;Braga;Amares;Goães;030112;https://dados.gov.pt/s/brasoes/030112.png
3;Braga;Amares;Lago;030113;https://dados.gov.pt/s/brasoes/030113.png
3;Braga;Amares;Rendufe;030118;https://dados.gov.pt/s/brasoes/030118.png
3;Braga;Amares;Bouro (Santa Maria);030119;https://dados.gov.pt/s/brasoes/030119.png
3;Braga;Amares;Bouro (Santa Marta);030120;https://dados.gov.pt/s/brasoes/030120.png
3;Braga;Amares;União das freguesias de Amares e Figueiredo;030125;
3;Braga;Amares;União das freguesias de Caldelas, Sequeiros e Paranhos;030126;
3;Braga;Amares;União das freguesias de Ferreiros, Prozelo e Besteiros;030127;
3;Braga;Amares;União das freguesias de Torre e Portela;030128;
3;Braga;Amares;União das freguesias de Vilela, Seramil e Paredes Secas;030129;
3;Braga;Barcelos;Abade de Neiva;030201;https://dados.gov.pt/s/brasoes/030201.png
3;Braga;Barcelos;Aborim;030202;https://dados.gov.pt/s/brasoes/030202.png
3;Braga;Barcelos;Adães;030203;https://dados.gov.pt/s/brasoes/030203.png
3;Braga;Barcelos;Airó;030205;https://dados.gov.pt/s/brasoes/030205.png
3;Braga;Barcelos;Aldreu;030206;https://dados.gov.pt/s/brasoes/030206.png
3;Braga;Barcelos;Alvelos;030208;https://dados.gov.pt/s/brasoes/030208.png
3;Braga;Barcelos;Arcozelo;030209;https://dados.gov.pt/s/brasoes/030209.png
3;Braga;Barcelos;Areias;030210;https://dados.gov.pt/s/brasoes/030210.png
3;Braga;Barcelos;Balugães;030212;https://dados.gov.pt/s/brasoes/030212.png
3;Braga;Barcelos;Barcelinhos;030213;https://dados.gov.pt/s/brasoes/030213.png
3;Braga;Barcelos;Barqueiros;030215;https://dados.gov.pt/s/brasoes/030215.png
3;Braga;Barcelos;Cambeses;030216;https://dados.gov.pt/s/brasoes/030216.png
3;Braga;Barcelos;Carapeços;030218;https://dados.gov.pt/s/brasoes/030218.png
3;Braga;Barcelos;Carvalhal;030220;https://dados.gov.pt/s/brasoes/030220.png
3;Braga;Barcelos;Carvalhas;030221;
3;Braga;Barcelos;Cossourado;030224;https://dados.gov.pt/s/brasoes/030224.png
3;Braga;Barcelos;Cristelo;030228;https://dados.gov.pt/s/brasoes/030228.png
3;Braga;Barcelos;Fornelos;030234;https://dados.gov.pt/s/brasoes/030234.png
3;Braga;Barcelos;Fragoso;030235;https://dados.gov.pt/s/brasoes/030235.png
3;Braga;Barcelos;Gilmonde;030237;https://dados.gov.pt/s/brasoes/030237.png
3;Braga;Barcelos;Lama;030242;https://dados.gov.pt/s/brasoes/030242.png
3;Braga;Barcelos;Lijó;030243;https://dados.gov.pt/s/brasoes/030243.png
3;Braga;Barcelos;Macieira de Rates;030244;https://dados.gov.pt/s/brasoes/030244.png
3;Braga;Barcelos;Manhente;030245;https://dados.gov.pt/s/brasoes/030245.png
3;Braga;Barcelos;Martim;030247;https://dados.gov.pt/s/brasoes/030247.png
3;Braga;Barcelos;Moure;030252;https://dados.gov.pt/s/brasoes/030252.png
3;Braga;Barcelos;Oliveira;030254;https://dados.gov.pt/s/brasoes/030254.png
3;Braga;Barcelos;Palme;030255;https://dados.gov.pt/s/brasoes/030255.png
3;Braga;Barcelos;Panque;030256;https://dados.gov.pt/s/brasoes/030256.png
3;Braga;Barcelos;Paradela;030257;https://dados.gov.pt/s/brasoes/030257.png
3;Braga;Barcelos;Pereira;030259;https://dados.gov.pt/s/brasoes/030259.png
3;Braga;Barcelos;Perelhal;030260;https://dados.gov.pt/s/brasoes/030260.png
3;Braga;Barcelos;Pousa;030261;https://dados.gov.pt/s/brasoes/030261.png
3;Braga;Barcelos;Remelhe;030263;https://dados.gov.pt/s/brasoes/030263.png
3;Braga;Barcelos;Roriz;030264;https://dados.gov.pt/s/brasoes/030264.png
3;Braga;Barcelos;Rio Covo (Santa Eugénia);030265;https://dados.gov.pt/s/brasoes/030265.png
3;Braga;Barcelos;Galegos (Santa Maria);030268;https://dados.gov.pt/s/brasoes/030268.png
3;Braga;Barcelos;Galegos (São Martinho);030272;https://dados.gov.pt/s/brasoes/030272.png
3;Braga;Barcelos;Tamel (São Veríssimo);030277;https://dados.gov.pt/s/brasoes/030277.png
3;Braga;Barcelos;Silva;030279;https://dados.gov.pt/s/brasoes/030279.png
3;Braga;Barcelos;Ucha;030282;https://dados.gov.pt/s/brasoes/030282.png
3;Braga;Barcelos;Várzea;030283;
3;Braga;Barcelos;Vila Seca;030287;https://dados.gov.pt/s/brasoes/030287.png
3;Braga;Barcelos;União das freguesias de Alheira e Igreja Nova;030290;
3;Braga;Barcelos;União das freguesias de Alvito (São Pedro e São Martinho) e Couto;030291;
3;Braga;Barcelos;União das freguesias de Areias de Vilar e Encourados;030292;
3;Braga;Barcelos;União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);030293;
3;Braga;Barcelos;União das freguesias de Campo e Tamel (São Pedro Fins);030294;
3;Braga;Barcelos;União das freguesias de Carreira e Fonte Coberta;030295;
3;Braga;Barcelos;União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;030296;
3;Braga;Barcelos;União das freguesias de Creixomil e Mariz;030297;
3;Braga;Barcelos;União das freguesias de Durrães e Tregosa;030298;
3;Braga;Barcelos;União das freguesias de Gamil e Midões;030299;
3;Braga;Barcelos;União das freguesias de Milhazes, Vilar de Figos e Faria;0302FA;
3;Braga;Barcelos;União das freguesias de Negreiros e Chavão;0302FB;
3;Braga;Barcelos;União das freguesias de Quintiães e Aguiar;0302FC;
3;Braga;Barcelos;União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);0302FD;
3;Braga;Barcelos;União das freguesias de Silveiros e Rio Covo (Santa Eulália);0302FE;
3;Braga;Barcelos;União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;0302FF;
3;Braga;Barcelos;União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;0302FG;
3;Braga;Barcelos;União das freguesias de Vila Cova e Feitos;0302FH;
3;Braga;Braga;Adaúfe;030301;https://dados.gov.pt/s/brasoes/030301.png
3;Braga;Braga;Espinho;030312;
3;Braga;Braga;Esporões;030313;https://dados.gov.pt/s/brasoes/030313.png
3;Braga;Braga;Figueiredo;030315;https://dados.gov.pt/s/brasoes/030315.png
3;Braga;Braga;Gualtar;030319;https://dados.gov.pt/s/brasoes/030319.png
3;Braga;Braga;Lamas;030322;https://dados.gov.pt/s/brasoes/030322.png
3;Braga;Braga;Mire de Tibães;030325;https://dados.gov.pt/s/brasoes/030325.png
3;Braga;Braga;Padim da Graça;030330;https://dados.gov.pt/s/brasoes/030330.png
3;Braga;Braga;Palmeira;030331;https://dados.gov.pt/s/brasoes/030331.png
3;Braga;Braga;Pedralva;030334;https://dados.gov.pt/s/brasoes/030334.png
3;Braga;Braga;Priscos;030336;https://dados.gov.pt/s/brasoes/030336.png
3;Braga;Braga;Ruilhe;030338;https://dados.gov.pt/s/brasoes/030338.png
3;Braga;Braga;Braga (São Vicente);030349;https://dados.gov.pt/s/brasoes/030349.png
3;Braga;Braga;Braga (São Vítor);030351;https://dados.gov.pt/s/brasoes/030351.png
3;Braga;Braga;Sequeira;030354;https://dados.gov.pt/s/brasoes/030354.png
